,t,x_gt,y_gt,x_gps,y_gps
63,6.300000000000001,9.03040982048137,0.05506333853737466,9.036872797474716,0.022003877782757364
64,6.4,9.174987113137783,0.05993027962246922,9.168494868758048,0.04459629387622632
65,6.5,9.314535605252997,0.06062860758122168,9.294606575005638,0.04783524262237293
66,6.6000000000000005,9.479135417774733,0.052068240537958665,9.448816014284224,0.026889331809105244
67,6.7,9.579243584705788,0.049547569348761034,9.597096605056313,0.05455097957949606
68,6.800000000000001,9.744335912108905,0.07010178003972722,9.75061050829802,0.04993453931910352
69,6.9,9.898962763074408,0.05994666289539552,9.899138932233177,0.048645802628945134
70,7.0,10.03736771835883,0.060289712824994623,10.032464468301068,0.05703763447182375
71,7.1000000000000005,10.229142985306614,0.052322779121708685,10.168672284657015,0.03291123972472132
72,7.2,10.363970820763173,0.05100709547264071,10.313568619937705,0.05395241152444363
73,7.300000000000001,10.478609456527616,0.056580182464090356,10.467728998867104,0.03935707816362033
74,7.4,10.596902160510096,0.039519039892411456,10.630900026070902,0.024670547840186074
75,7.500000000000001,10.818186773066676,0.034754429350145166,10.780569100857333,0.043106016885143816
76,7.6000000000000005,10.886740248114688,0.03592723749882065,10.93139615425238,0.015778803933393704
77,7.7,11.062980589770685,0.023917719594409803,11.07251766635889,0.031083276494162426
78,7.800000000000001,11.23159471405867,0.02351309457996109,11.209958469269356,0.03357157097123764
79,7.9,11.377032167311125,0.024842412958634874,11.348312816444414,0.026750380156920883
80,8.0,11.48544923265399,0.03579770613391897,11.460242064487359,0.03919985414569105
81,8.1,11.58277389660523,0.04106424733926417,11.628895568345197,0.03884605146810127
82,8.200000000000001,11.798070364770778,0.034706319208260616,11.772822705432368,0.04828427701960347
83,8.3,11.929732619512208,0.03762432875646926,11.913238901604661,0.05658879086662516
84,8.4,12.027342147550826,0.03999896347483656,12.046753207209328,0.039776624538983896
85,8.5,12.171501237329595,0.04079301743543606,12.183778315198298,0.06703835849377082
86,8.600000000000001,12.287631858045328,0.04510777140026967,12.335516567989517,0.04856613165934931
87,8.700000000000001,12.440568893764839,0.04935309949983768,12.476991802216459,0.04896001589608101
88,8.8,12.588076289773257,0.05617716926297334,12.615216642925237,0.07600317626368458
89,8.9,12.793934979835017,0.0399373267478067,12.779827732408167,0.048357627310537055
90,9.0,12.945308360921459,0.03765346814334869,12.92669501024078,0.03949720761301023
91,9.100000000000001,12.994639644227624,0.037488537685464784,13.074402700752788,0.05280175717734803
92,9.200000000000001,13.19789755218173,0.03277810828127148,13.203957314982393,0.044602138497581656
