rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1477388577727270994,,193012,,1477388577,726833826,'',"""\n$GPGGA,094318.70,5603.97859102,N,00823.34598698,E,4,15,0.7,21.982,M,40.732,M,2.7,0015*73"""
1477388577731112784,,193013,,1477388577,728579131,'',"""\n$GPHDT,124.985,T*36"""
1477388577787586617,,193014,,1477388577,777807723,'',"""\n$GPGGA,094318.75,5603.97855108,N,00823.34594220,E,4,15,0.7,22.022,M,40.732,M,2.8,0015*74"""
1477388577787645455,,193015,,1477388577,779774216,'',"""\n$GPHDT,123.419,T*39"""
1477388577834451232,,193016,,1477388577,834175120,'',"""\n$GPGGA,094318.80,5603.97849873,N,00823.34587011,E,4,15,0.7,22.004,M,40.732,M,2.8,0015*70"""
1477388577836026122,,193017,,1477388577,835736963,'',"""\n$GPHDT,123.656,T*30"""
1477388577877862204,,193018,,1477388577,877191138,'',"""\n$GPGGA,094318.85,5603.97843756,N,00823.34584227,E,4,15,0.7,21.985,M,40.732,M,2.8,0015*70"""
1477388577879299620,,193019,,1477388577,878864268,'',"""\n$GPHDT,123.782,T*38"""
1477388577926870687,,193020,,1477388577,926622159,'',"""\n$GPGGA,094318.90,5603.97837024,N,00823.34579327,E,4,15,0.7,22.002,M,40.732,M,2.9,0015*72"""
1477388577928439539,,193021,,1477388577,928259491,'',"""\n$GPHDT,123.389,T*37"""
1477388577976636849,,193022,,1477388577,976389191,'',"""\n$GPGGA,094318.95,5603.97831558,N,00823.34573911,E,4,15,0.7,22.048,M,40.732,M,0.9,0015*76"""
1477388577978777900,,193023,,1477388577,978278381,'',"""\n$GPHDT,123.575,T*32"""
1477388578054537639,,193024,,1477388578,52988381,'',"""\n$GPGGA,094319.00,5603.97826873,N,00823.34568129,E,4,15,0.7,22.045,M,40.732,M,1.0,0015*75"""
1477388578056173486,,193025,,1477388578,53042024,'',"""\n$GPHDT,123.682,T*39"""
1477388578077526482,,193026,,1477388578,77174548,'',"""\n$GPGGA,094319.05,5603.97820714,N,00823.34562428,E,4,15,0.7,22.052,M,40.732,M,1.0,0015*70"""
1477388578079439811,,193027,,1477388578,79308023,'',"""\n$GPHDT,124.930,T*38"""
1477388578127460579,,193028,,1477388578,127077225,'',"""\n$GPGGA,094319.10,5603.97814605,N,00823.34558329,E,4,15,0.7,22.053,M,40.732,M,1.1,0015*7D"""
1477388578129639613,,193029,,1477388578,128733429,'',"""\n$GPHDT,124.926,T*3F"""
1477388578177785457,,193030,,1477388578,177419087,'',"""\n$GPGGA,094319.15,5603.97809214,N,00823.34553241,E,4,15,0.7,22.056,M,40.732,M,1.1,0015*71"""
1477388578179292515,,193031,,1477388578,179085786,'',"""\n$GPHDT,124.147,T*30"""
1477388578235212503,,193032,,1477388578,232959883,'',"""\n$GPGGA,094319.20,5603.97804380,N,00823.34548316,E,4,15,0.7,22.069,M,40.732,M,1.2,0015*70"""
1477388578235236934,,193033,,1477388578,234614678,'',"""\n$GPHDT,123.970,T*3B"""
1477388578276394422,,193034,,1477388578,276148805,'',"""\n$GPGGA,094319.25,5603.97799232,N,00823.34542858,E,4,15,0.7,22.062,M,40.732,M,1.3,0015*77"""
1477388578277586816,,193035,,1477388578,277391618,'',"""\n$GPHDT,125.315,T*34"""
1477388578327396233,,193036,,1477388578,326349410,'',"""\n$GPGGA,094319.30,5603.97793313,N,00823.34537791,E,4,15,0.7,22.070,M,40.732,M,1.3,0015*70"""
1477388578328321683,,193037,,1477388578,327993680,'',"""\n$GPHDT,125.730,T*37"""
1477388578382694747,,193038,,1477388578,375915739,'',"""\n$GPGGA,094319.35,5603.97787783,N,00823.34533182,E,4,15,0.7,22.081,M,40.732,M,1.4,0015*74"""
1477388578382729995,,193039,,1477388578,377587004,'',"""\n$GPHDT,123.132,T*35"""
1477388578437249789,,193040,,1477388578,433165236,'',"""\n$GPGGA,094319.40,5603.97781316,N,00823.34526789,E,4,15,0.7,22.087,M,40.732,M,1.4,0015*77"""
1477388578437255925,,193041,,1477388578,434633648,'',"""\n$GPHDT,123.124,T*32"""
1477388578479420120,,193042,,1477388578,479136654,'',"""\n$GPGGA,094319.45,5603.97773805,N,00823.34521035,E,4,15,0.7,22.100,M,40.732,M,1.5,0015*7E"""
1477388578479443085,,193043,,1477388578,479183037,'',"""\n$GPHDT,125.542,T*30"""
1477388578529382935,,193044,,1477388578,526996814,'',"""\n$GPGGA,094319.50,5603.97767643,N,00823.34516821,E,4,15,0.7,22.102,M,40.732,M,1.5,0015*78"""
1477388578529432597,,193045,,1477388578,529204479,'',"""\n$GPHDT,126.173,T*35"""
1477388578584549687,,193046,,1477388578,582341483,'',"""\n$GPGGA,094319.55,5603.97763157,N,00823.34511434,E,4,15,0.7,22.135,M,40.732,M,1.5,0015*70"""
1477388578584629180,,193047,,1477388578,582599439,'',"""\n$GPHDT,124.360,T*37"""
1477388578637873570,,193048,,1477388578,633026856,'',"""\n$GPGGA,094319.60,5603.97758631,N,00823.34504179,E,4,15,0.7,22.113,M,40.732,M,1.6,0015*76"""
1477388578637916748,,193049,,1477388578,634959642,'',"""\n$GPHDT,123.384,T*3A"""
1477388578678225560,,193050,,1477388578,678035870,'',"""\n$GPGGA,094319.65,5603.97752512,N,00823.34498122,E,4,15,0.7,22.113,M,40.732,M,1.6,0015*71"""
1477388578679982316,,193051,,1477388578,679751631,'',"""\n$GPHDT,125.244,T*31"""
1477388578727728880,,193052,,1477388578,727252130,'',"""\n$GPGGA,094319.70,5603.97745439,N,00823.34494715,E,4,15,0.7,22.118,M,40.732,M,1.7,0015*7F"""
1477388578729324950,,193053,,1477388578,729144270,'',"""\n$GPHDT,126.323,T*32"""
1477388578783368088,,193054,,1477388578,778217955,'',"""\n$GPGGA,094319.75,5603.97740292,N,00823.34490147,E,4,15,0.7,22.117,M,40.732,M,1.8,0015*7D"""
1477388578783470215,,193055,,1477388578,779388041,'',"""\n$GPHDT,124.894,T*37"""
1477388578833518667,,193056,,1477388578,833059184,'',"""\n$GPGGA,094319.80,5603.97736104,N,00823.34484930,E,4,15,0.7,22.141,M,40.732,M,1.8,0015*74"""
1477388578834993655,,193057,,1477388578,834707645,'',"""\n$GPHDT,122.464,T*32"""
1477388578877443613,,193058,,1477388578,877244467,'',"""\n$GPGGA,094319.85,5603.97731033,N,00823.34474871,E,4,15,0.7,22.134,M,40.732,M,1.9,0015*7B"""
1477388578879084085,,193059,,1477388578,878912075,'',"""\n$GPHDT,124.312,T*32"""
